,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
0,29.393,33.92,2017-01-01 00:00:00,6901766,17.7,41.696,2017-01-01 00:00:00,6903197,10.209,39.818,2017-01-01 00:00:00,6903180
1,10.352,40.763,2017-01-02 00:00:00,6901767,29.393,33.92,2017-01-01 00:00:00,6901766,17.7,41.696,2017-01-01 00:00:00,6903197
2,23.286,34.17,2017-01-02 00:00:00,6901765,4.62,42.804,2017-01-02 00:00:00,6901864,10.352,40.763,2017-01-02 00:00:00,6901767
3,11.098,39.078,2017-01-03 00:00:00,6901769,4.716,40.394,2017-01-02 00:00:00,6902732,23.286,34.17,2017-01-02 00:00:00,6901765
4,26.535,33.017,2017-01-03 00:00:00,6901770,10.352,40.763,2017-01-02 00:00:00,6901767,26.137,34.162,2017-01-02 00:00:00,6903204
5,17.639,36.848,2017-01-05 00:00:00,6901771,17.665,38.622,2017-01-02 00:00:00,6901863,4.397,41.4,2017-01-03 00:00:00,6902688
6,30.504,33.861,2017-01-05 00:00:00,6901764,23.286,34.17,2017-01-02 00:00:00,6901765,11.098,39.078,2017-01-03 00:00:00,6901769
7,7.73,42.013,2017-01-06 00:00:00,6902733,11.098,39.078,2017-01-03 00:00:00,6901769,26.535,33.017,2017-01-03 00:00:00,6901770
8,21.454,36.518,2017-01-07 00:00:00,6901768,18.629,38.915,2017-01-03 00:00:00,6901862,17.084,34.806,2017-01-04 00:00:00,6903153
9,30.677,32.903,2017-01-07 00:00:00,6901773,26.535,33.017,2017-01-03 00:00:00,6901770,6.548,42.31,2017-01-05 00:00:00,6902687
10,29.505,33.917,2017-01-08 00:00:00,6901766,17.639,36.848,2017-01-05 00:00:00,6901771,16.886,42.029,2017-01-05 00:00:00,6903178
11,10.382,40.747,2017-01-09 00:00:00,6901767,30.504,33.861,2017-01-05 00:00:00,6901764,17.639,36.848,2017-01-05 00:00:00,6901771
12,23.336,34.161,2017-01-09 00:00:00,6901765,7.73,42.013,2017-01-06 00:00:00,6902733,30.504,33.861,2017-01-05 00:00:00,6901764
13,11.267,39.178,2017-01-10 00:00:00,6901769,17.445,41.847,2017-01-06 00:00:00,6903197,7.73,42.013,2017-01-06 00:00:00,6902733
14,26.445,32.919,2017-01-10 00:00:00,6901770,4.598,42.859,2017-01-07 00:00:00,6901864,10.166,39.876,2017-01-06 00:00:00,6903180
15,17.643,36.767,2017-01-12 00:00:00,6901771,17.817,38.626,2017-01-07 00:00:00,6901863,17.445,41.847,2017-01-06 00:00:00,6903197
16,30.423,33.928,2017-01-12 00:00:00,6901764,21.454,36.518,2017-01-07 00:00:00,6901768,21.454,36.518,2017-01-07 00:00:00,6901768
17,7.707,42.071,2017-01-13 00:00:00,6902733,30.677,32.903,2017-01-07 00:00:00,6901773,26.08,33.918,2017-01-07 00:00:00,6903204
18,21.419,36.537,2017-01-14 00:00:00,6901768,18.744,38.931,2017-01-08 00:00:00,6901862,30.677,32.903,2017-01-07 00:00:00,6901773
19,30.75,32.93,2017-01-14 00:00:00,6901773,29.505,33.917,2017-01-08 00:00:00,6901766,4.585,41.435,2017-01-08 00:00:00,6902688
20,29.449,33.882,2017-01-15 00:00:00,6901766,4.621,40.273,2017-01-09 00:00:00,6902732,10.382,40.747,2017-01-09 00:00:00,6901767
21,10.377,40.696,2017-01-16 00:00:00,6901767,10.382,40.747,2017-01-09 00:00:00,6901767,16.993,34.899,2017-01-09 00:00:00,6903153
22,23.412,34.184,2017-01-16 00:00:00,6901765,23.336,34.161,2017-01-09 00:00:00,6901765,23.336,34.161,2017-01-09 00:00:00,6901765
23,26.466,32.916,2017-01-17 00:00:00,6901770,11.267,39.178,2017-01-10 00:00:00,6901769,6.569,42.312,2017-01-10 00:00:00,6902687
24,17.598,36.718,2017-01-19 00:00:00,6901771,17.376,41.611,2017-01-11 00:00:00,6903197,10.124,39.935,2017-01-11 00:00:00,6903180
25,30.394,34.027,2017-01-19 00:00:00,6901764,4.488,42.851,2017-01-12 00:00:00,6901864,17.376,41.611,2017-01-11 00:00:00,6903197
26,7.758,42.015,2017-01-20 00:00:00,6902733,17.643,36.767,2017-01-12 00:00:00,6901771,17.643,36.767,2017-01-12 00:00:00,6901771
27,21.38,36.595,2017-01-21 00:00:00,6901768,17.932,38.578,2017-01-12 00:00:00,6901863,26.024,33.674,2017-01-12 00:00:00,6903204
28,30.79,32.989,2017-01-21 00:00:00,6901773,30.423,33.928,2017-01-12 00:00:00,6901764,30.423,33.928,2017-01-12 00:00:00,6901764
29,29.596,33.927,2017-01-22 00:00:00,6901766,7.707,42.071,2017-01-13 00:00:00,6902733,4.729,41.363,2017-01-13 00:00:00,6902688
30,10.378,40.664,2017-01-23 00:00:00,6901767,19.046,38.826,2017-01-13 00:00:00,6901862,7.707,42.071,2017-01-13 00:00:00,6902733
31,23.505,34.245,2017-01-23 00:00:00,6901765,21.419,36.537,2017-01-14 00:00:00,6901768,16.925,34.907,2017-01-14 00:00:00,6903153
32,26.593,33.009,2017-01-24 00:00:00,6901770,30.75,32.93,2017-01-14 00:00:00,6901773,21.419,36.537,2017-01-14 00:00:00,6901768
33,17.597,36.67,2017-01-26 00:00:00,6901771,29.449,33.882,2017-01-15 00:00:00,6901766,30.75,32.93,2017-01-14 00:00:00,6901773
34,30.415,34.074,2017-01-26 00:00:00,6901764,4.733,39.996,2017-01-16 00:00:00,6902732,6.512,42.354,2017-01-15 00:00:00,6902687
35,7.813,41.993,2017-01-27 00:00:00,6902733,10.377,40.696,2017-01-16 00:00:00,6901767,10.098,39.929,2017-01-16 00:00:00,6903180
36,21.255,36.654,2017-01-28 00:00:00,6901768,17.636,41.523,2017-01-16 00:00:00,6903197,10.377,40.696,2017-01-16 00:00:00,6901767
37,30.871,32.984,2017-01-28 00:00:00,6901773,23.412,34.184,2017-01-16 00:00:00,6901765,17.636,41.523,2017-01-16 00:00:00,6903197
38,29.777,34.006,2017-01-29 00:00:00,6901766,4.53,42.84,2017-01-17 00:00:00,6901864,23.412,34.184,2017-01-16 00:00:00,6901765
39,10.435,40.699,2017-01-30 00:00:00,6901767,11.186,39.24,2017-01-17 00:00:00,6901769,11.186,39.24,2017-01-17 00:00:00,6901769
40,23.484,34.3,2017-01-30 00:00:00,6901765,17.898,38.806,2017-01-17 00:00:00,6901863,25.799,33.681,2017-01-17 00:00:00,6903204
41,10.623,39.431,2017-01-31 00:00:00,6901769,26.466,32.916,2017-01-17 00:00:00,6901770,26.466,32.916,2017-01-17 00:00:00,6901770
42,26.586,33.069,2017-01-31 00:00:00,6901770,18.927,38.853,2017-01-18 00:00:00,6901862,4.843,41.252,2017-01-18 00:00:00,6902688
43,17.507,36.657,2017-02-02 00:00:00,6901771,17.598,36.718,2017-01-19 00:00:00,6901771,16.899,34.835,2017-01-19 00:00:00,6903153
44,30.527,34.104,2017-02-02 00:00:00,6901764,30.394,34.027,2017-01-19 00:00:00,6901764,17.598,36.718,2017-01-19 00:00:00,6901771
45,21.121,36.707,2017-02-04 00:00:00,6901768,7.758,42.015,2017-01-20 00:00:00,6902733,30.394,34.027,2017-01-19 00:00:00,6901764
46,30.972,33.04,2017-02-04 00:00:00,6901773,17.572,41.395,2017-01-21 00:00:00,6903197,6.315,42.369,2017-01-20 00:00:00,6902687
47,29.785,34.161,2017-02-05 00:00:00,6901766,21.38,36.595,2017-01-21 00:00:00,6901768,7.758,42.015,2017-01-20 00:00:00,6902733
48,10.56,40.76,2017-02-06 00:00:00,6901767,30.79,32.989,2017-01-21 00:00:00,6901773,10.088,39.895,2017-01-21 00:00:00,6903180
49,23.477,34.344,2017-02-06 00:00:00,6901765,4.46,42.795,2017-01-22 00:00:00,6901864,17.572,41.395,2017-01-21 00:00:00,6903197
50,10.503,39.239,2017-02-07 00:00:00,6901769,18.07,38.896,2017-01-22 00:00:00,6901863,21.38,36.595,2017-01-21 00:00:00,6901768
51,26.669,33.152,2017-02-07 00:00:00,6901770,29.596,33.927,2017-01-22 00:00:00,6901766,30.79,32.989,2017-01-21 00:00:00,6901773
52,17.49,36.749,2017-02-09 00:00:00,6901771,4.715,39.528,2017-01-23 00:00:00,6902732,25.578,33.781,2017-01-22 00:00:00,6903204
53,30.579,34.166,2017-02-09 00:00:00,6901764,10.378,40.664,2017-01-23 00:00:00,6901767,4.859,41.177,2017-01-23 00:00:00,6902688
54,7.854,42.244,2017-02-10 00:00:00,6902733,18.99,38.514,2017-01-23 00:00:00,6901862,10.378,40.664,2017-01-23 00:00:00,6901767
55,20.987,36.653,2017-02-11 00:00:00,6901768,23.505,34.245,2017-01-23 00:00:00,6901765,23.505,34.245,2017-01-23 00:00:00,6901765
56,31.013,33.089,2017-02-11 00:00:00,6901773,10.835,39.392,2017-01-24 00:00:00,6901769,10.835,39.392,2017-01-24 00:00:00,6901769
57,29.54,34.193,2017-02-12 00:00:00,6901766,26.593,33.009,2017-01-24 00:00:00,6901770,16.826,34.74,2017-01-24 00:00:00,6903153
58,10.578,40.704,2017-02-13 00:00:00,6901767,17.597,36.67,2017-01-26 00:00:00,6901771,26.593,33.009,2017-01-24 00:00:00,6901770
59,23.522,34.392,2017-02-13 00:00:00,6901765,17.845,41.364,2017-01-26 00:00:00,6903197,6.004,42.464,2017-01-25 00:00:00,6902687
60,10.589,39.291,2017-02-14 00:00:00,6901769,30.415,34.074,2017-01-26 00:00:00,6901764,16.758,41.571,2017-01-25 00:00:00,6903178
61,26.734,33.087,2017-02-14 00:00:00,6901770,3.99,42.576,2017-01-27 00:00:00,6901864,10.114,39.856,2017-01-26 00:00:00,6903180
62,17.525,36.834,2017-02-16 00:00:00,6901771,7.813,41.993,2017-01-27 00:00:00,6902733,17.597,36.67,2017-01-26 00:00:00,6901771
63,30.518,34.308,2017-02-16 00:00:00,6901764,18.443,38.909,2017-01-27 00:00:00,6901863,17.845,41.364,2017-01-26 00:00:00,6903197
64,7.743,42.372,2017-02-17 00:00:00,6902733,18.557,38.12,2017-01-28 00:00:00,6901862,30.415,34.074,2017-01-26 00:00:00,6901764
65,21.056,36.454,2017-02-18 00:00:00,6901768,21.255,36.654,2017-01-28 00:00:00,6901768,7.813,41.993,2017-01-27 00:00:00,6902733
66,31.0,33.101,2017-02-18 00:00:00,6901773,30.871,32.984,2017-01-28 00:00:00,6901773,25.724,33.995,2017-01-27 00:00:00,6903204
67,29.167,33.96,2017-02-19 00:00:00,6901766,29.777,34.006,2017-01-29 00:00:00,6901766,4.809,41.113,2017-01-28 00:00:00,6902688
68,10.53,40.775,2017-02-20 00:00:00,6901767,4.689,39.075,2017-01-30 00:00:00,6902732,21.255,36.654,2017-01-28 00:00:00,6901768
69,23.607,34.495,2017-02-20 00:00:00,6901765,10.435,40.699,2017-01-30 00:00:00,6901767,30.871,32.984,2017-01-28 00:00:00,6901773
70,10.41,39.364,2017-02-21 00:00:00,6901769,23.484,34.3,2017-01-30 00:00:00,6901765,16.84,34.813,2017-01-29 00:00:00,6903153
71,26.741,33.199,2017-02-21 00:00:00,6901770,10.623,39.431,2017-01-31 00:00:00,6901769,5.921,42.515,2017-01-30 00:00:00,6902687
72,17.655,36.837,2017-02-23 00:00:00,6901771,17.726,41.416,2017-01-31 00:00:00,6903197,10.435,40.699,2017-01-30 00:00:00,6901767
73,30.335,34.393,2017-02-23 00:00:00,6901764,26.586,33.069,2017-01-31 00:00:00,6901770,23.484,34.3,2017-01-30 00:00:00,6901765
74,7.726,42.475,2017-02-24 00:00:00,6902733,3.851,42.36,2017-02-01 00:00:00,6901864,10.064,39.773,2017-01-31 00:00:00,6903180
75,21.161,36.381,2017-02-25 00:00:00,6901768,18.194,39.063,2017-02-01 00:00:00,6901863,10.623,39.431,2017-01-31 00:00:00,6901769
76,30.951,33.02,2017-02-25 00:00:00,6901773,17.507,36.657,2017-02-02 00:00:00,6901771,17.726,41.416,2017-01-31 00:00:00,6903197
77,29.416,33.776,2017-02-26 00:00:00,6901766,18.531,38.655,2017-02-02 00:00:00,6901862,26.586,33.069,2017-01-31 00:00:00,6901770
78,10.512,40.813,2017-02-27 00:00:00,6901767,30.527,34.104,2017-02-02 00:00:00,6901764,25.726,33.916,2017-02-01 00:00:00,6903204
79,23.631,34.612,2017-02-27 00:00:00,6901765,7.901,42.095,2017-02-03 00:00:00,6902733,4.838,41.1,2017-02-02 00:00:00,6902688
80,10.304,39.173,2017-02-28 00:00:00,6901769,21.121,36.707,2017-02-04 00:00:00,6901768,17.507,36.657,2017-02-02 00:00:00,6901771
81,26.74,33.138,2017-02-28 00:00:00,6901770,30.972,33.04,2017-02-04 00:00:00,6901773,30.527,34.104,2017-02-02 00:00:00,6901764
82,17.67,36.716,2017-03-02 00:00:00,6901771,17.922,41.373,2017-02-05 00:00:00,6903197,7.901,42.095,2017-02-03 00:00:00,6902733
83,29.974,34.527,2017-03-02 00:00:00,6901764,29.785,34.161,2017-02-05 00:00:00,6901766,16.862,34.785,2017-02-03 00:00:00,6903153
84,7.755,42.568,2017-03-03 00:00:00,6902733,3.844,42.325,2017-02-06 00:00:00,6901864,5.929,42.507,2017-02-04 00:00:00,6902687
85,21.201,36.461,2017-03-04 00:00:00,6901768,4.511,38.713,2017-02-06 00:00:00,6902732,16.759,41.573,2017-02-04 00:00:00,6903178
86,31.024,32.987,2017-03-04 00:00:00,6901773,10.56,40.76,2017-02-06 00:00:00,6901767,21.121,36.707,2017-02-04 00:00:00,6901768
87,29.855,33.742,2017-03-05 00:00:00,6901766,18.227,39.375,2017-02-06 00:00:00,6901863,30.972,33.04,2017-02-04 00:00:00,6901773
88,10.487,40.819,2017-03-06 00:00:00,6901767,23.477,34.344,2017-02-06 00:00:00,6901765,9.999,39.711,2017-02-05 00:00:00,6903180
89,23.474,34.718,2017-03-06 00:00:00,6901765,10.503,39.239,2017-02-07 00:00:00,6901769,17.922,41.373,2017-02-05 00:00:00,6903197
90,10.26,39.0,2017-03-07 00:00:00,6901769,18.921,38.815,2017-02-07 00:00:00,6901862,10.56,40.76,2017-02-06 00:00:00,6901767
91,26.557,33.308,2017-03-07 00:00:00,6901770,26.669,33.152,2017-02-07 00:00:00,6901770,23.477,34.344,2017-02-06 00:00:00,6901765
92,17.533,36.677,2017-03-09 00:00:00,6901771,17.49,36.749,2017-02-09 00:00:00,6901771,25.942,33.81,2017-02-06 00:00:00,6903204
93,29.639,34.572,2017-03-09 00:00:00,6901764,30.579,34.166,2017-02-09 00:00:00,6901764,4.926,41.089,2017-02-07 00:00:00,6902688
94,7.884,42.683,2017-03-10 00:00:00,6902733,7.854,42.244,2017-02-10 00:00:00,6902733,10.503,39.239,2017-02-07 00:00:00,6901769
95,21.184,36.61,2017-03-11 00:00:00,6901768,18.137,41.174,2017-02-10 00:00:00,6903197,26.669,33.152,2017-02-07 00:00:00,6901770
96,31.001,32.998,2017-03-11 00:00:00,6901773,3.818,41.967,2017-02-11 00:00:00,6901864,16.921,34.744,2017-02-08 00:00:00,6903153
97,30.555,33.798,2017-03-12 00:00:00,6901766,17.692,39.771,2017-02-11 00:00:00,6901863,33.67,32.511,2017-02-08 00:00:00,6903222
98,10.441,40.824,2017-03-13 00:00:00,6901767,20.987,36.653,2017-02-11 00:00:00,6901768,16.761,41.573,2017-02-09 00:00:00,6903178
99,23.413,34.955,2017-03-13 00:00:00,6901765,31.013,33.089,2017-02-11 00:00:00,6901773,17.49,36.749,2017-02-09 00:00:00,6901771
100,10.193,38.966,2017-03-14 00:00:00,6901769,19.36,38.807,2017-02-12 00:00:00,6901862,30.579,34.166,2017-02-09 00:00:00,6901764
