,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
0,29.393,33.92,2017-01-01 00:00:00,6901766,17.7,41.696,2017-01-01 00:00:00,6903197,10.209,39.818,2017-01-01 00:00:00,6903180
1,26.137,34.162,2017-01-02 00:00:00,6903204,29.393,33.92,2017-01-01 00:00:00,6901766,10.352,40.763,2017-01-02 00:00:00,6901767
2,26.535,33.017,2017-01-03 00:00:00,6901770,4.62,42.804,2017-01-02 00:00:00,6901864,23.286,34.17,2017-01-02 00:00:00,6901765
3,17.084,34.806,2017-01-04 00:00:00,6903153,4.716,40.394,2017-01-02 00:00:00,6902732,26.137,34.162,2017-01-02 00:00:00,6903204
4,16.886,42.029,2017-01-05 00:00:00,6903178,10.352,40.763,2017-01-02 00:00:00,6901767,4.397,41.4,2017-01-03 00:00:00,6902688
5,17.639,36.848,2017-01-05 00:00:00,6901771,17.665,38.622,2017-01-02 00:00:00,6901863,11.098,39.078,2017-01-03 00:00:00,6901769
6,17.445,41.847,2017-01-06 00:00:00,6903197,23.286,34.17,2017-01-02 00:00:00,6901765,26.535,33.017,2017-01-03 00:00:00,6901770
7,26.08,33.918,2017-01-07 00:00:00,6903204,11.098,39.078,2017-01-03 00:00:00,6901769,17.084,34.806,2017-01-04 00:00:00,6903153
8,30.677,32.903,2017-01-07 00:00:00,6901773,18.629,38.915,2017-01-03 00:00:00,6901862,6.548,42.31,2017-01-05 00:00:00,6902687
9,10.382,40.747,2017-01-09 00:00:00,6901767,26.535,33.017,2017-01-03 00:00:00,6901770,16.886,42.029,2017-01-05 00:00:00,6903178
10,16.993,34.899,2017-01-09 00:00:00,6903153,17.639,36.848,2017-01-05 00:00:00,6901771,17.639,36.848,2017-01-05 00:00:00,6901771
11,26.445,32.919,2017-01-10 00:00:00,6901770,30.504,33.861,2017-01-05 00:00:00,6901764,30.504,33.861,2017-01-05 00:00:00,6901764
12,17.376,41.611,2017-01-11 00:00:00,6903197,7.73,42.013,2017-01-06 00:00:00,6902733,7.73,42.013,2017-01-06 00:00:00,6902733
13,17.643,36.767,2017-01-12 00:00:00,6901771,17.445,41.847,2017-01-06 00:00:00,6903197,10.166,39.876,2017-01-06 00:00:00,6903180
14,26.024,33.674,2017-01-12 00:00:00,6903204,4.598,42.859,2017-01-07 00:00:00,6901864,17.445,41.847,2017-01-06 00:00:00,6903197
15,16.925,34.907,2017-01-14 00:00:00,6903153,17.817,38.626,2017-01-07 00:00:00,6901863,21.454,36.518,2017-01-07 00:00:00,6901768
16,30.75,32.93,2017-01-14 00:00:00,6901773,21.454,36.518,2017-01-07 00:00:00,6901768,26.08,33.918,2017-01-07 00:00:00,6903204
17,10.377,40.696,2017-01-16 00:00:00,6901767,30.677,32.903,2017-01-07 00:00:00,6901773,30.677,32.903,2017-01-07 00:00:00,6901773
18,26.466,32.916,2017-01-17 00:00:00,6901770,18.744,38.931,2017-01-08 00:00:00,6901862,4.585,41.435,2017-01-08 00:00:00,6902688
19,16.899,34.835,2017-01-19 00:00:00,6903153,29.505,33.917,2017-01-08 00:00:00,6901766,10.382,40.747,2017-01-09 00:00:00,6901767
20,17.598,36.718,2017-01-19 00:00:00,6901771,4.621,40.273,2017-01-09 00:00:00,6902732,16.993,34.899,2017-01-09 00:00:00,6903153
21,30.79,32.989,2017-01-21 00:00:00,6901773,10.382,40.747,2017-01-09 00:00:00,6901767,23.336,34.161,2017-01-09 00:00:00,6901765
22,10.378,40.664,2017-01-23 00:00:00,6901767,23.336,34.161,2017-01-09 00:00:00,6901765,6.569,42.312,2017-01-10 00:00:00,6902687
23,16.826,34.74,2017-01-24 00:00:00,6903153,11.267,39.178,2017-01-10 00:00:00,6901769,10.124,39.935,2017-01-11 00:00:00,6903180
24,16.758,41.571,2017-01-25 00:00:00,6903178,17.376,41.611,2017-01-11 00:00:00,6903197,17.376,41.611,2017-01-11 00:00:00,6903197
25,17.597,36.67,2017-01-26 00:00:00,6901771,4.488,42.851,2017-01-12 00:00:00,6901864,17.643,36.767,2017-01-12 00:00:00,6901771
26,17.845,41.364,2017-01-26 00:00:00,6903197,17.643,36.767,2017-01-12 00:00:00,6901771,26.024,33.674,2017-01-12 00:00:00,6903204
27,30.871,32.984,2017-01-28 00:00:00,6901773,17.932,38.578,2017-01-12 00:00:00,6901863,30.423,33.928,2017-01-12 00:00:00,6901764
28,16.84,34.813,2017-01-29 00:00:00,6903153,30.423,33.928,2017-01-12 00:00:00,6901764,4.729,41.363,2017-01-13 00:00:00,6902688
29,10.435,40.699,2017-01-30 00:00:00,6901767,7.707,42.071,2017-01-13 00:00:00,6902733,7.707,42.071,2017-01-13 00:00:00,6902733
