,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
0,27.44,34.889,2019-01-01 00:00:00,6902900,15.424,36.661,2019-01-01 00:00:00,6902826,7.517,39.721,2019-01-02 00:00:00,6901657
1,17.862,42.221,2019-01-02 00:00:00,6903250,26.385,33.754,2019-01-01 00:00:00,6902898,10.215,40.389,2019-01-02 00:00:00,6903238
2,17.075,40.198,2019-01-03 00:00:00,6903249,27.44,34.889,2019-01-01 00:00:00,6902900,18.888,35.667,2019-01-02 00:00:00,6903237
3,23.338,34.611,2019-01-04 00:00:00,6901775,7.517,39.721,2019-01-02 00:00:00,6901657,7.381,43.107,2019-01-03 00:00:00,6902901
4,23.363,34.074,2019-01-04 00:00:00,6903246,10.215,40.389,2019-01-02 00:00:00,6903238,17.075,40.198,2019-01-03 00:00:00,6903249
5,27.439,34.899,2019-01-04 00:00:00,6902900,17.862,42.221,2019-01-02 00:00:00,6903250,23.757,39.401,2019-01-03 00:00:00,6903283
6,28.619,34.038,2019-01-04 00:00:00,6901764,18.888,35.667,2019-01-02 00:00:00,6903237,12.627,39.254,2019-01-04 00:00:00,6902903
7,34.071,32.991,2019-01-05 00:00:00,6901773,26.379,33.763,2019-01-02 00:00:00,6902898,23.338,34.611,2019-01-04 00:00:00,6901775
8,27.422,34.901,2019-01-07 00:00:00,6902900,28.641,35.217,2019-01-02 00:00:00,6902904,23.363,34.074,2019-01-04 00:00:00,6903246
9,17.24,39.859,2019-01-08 00:00:00,6903249,7.381,43.107,2019-01-03 00:00:00,6902901,26.941,34.115,2019-01-04 00:00:00,6903247
10,27.428,34.898,2019-01-10 00:00:00,6902900,15.915,37.708,2019-01-03 00:00:00,6901862,7.091,39.761,2019-01-05 00:00:00,6902804
11,23.334,34.645,2019-01-11 00:00:00,6901775,17.075,40.198,2019-01-03 00:00:00,6903249,34.071,32.991,2019-01-05 00:00:00,6901773
12,28.672,34.009,2019-01-11 00:00:00,6901764,23.757,39.401,2019-01-03 00:00:00,6903283,6.53,40.043,2019-01-06 00:00:00,6901774
13,7.344,43.012,2019-01-12 00:00:00,6902901,26.446,33.801,2019-01-03 00:00:00,6902898,7.378,43.049,2019-01-06 00:00:00,6902901
14,18.175,35.21,2019-01-12 00:00:00,6903237,12.627,39.254,2019-01-04 00:00:00,6902903,10.226,40.46,2019-01-07 00:00:00,6903238
15,17.214,39.741,2019-01-13 00:00:00,6903249,23.338,34.611,2019-01-04 00:00:00,6901775,17.611,42.21,2019-01-07 00:00:00,6903250
16,27.424,34.881,2019-01-13 00:00:00,6902900,23.363,34.074,2019-01-04 00:00:00,6903246,18.627,35.688,2019-01-07 00:00:00,6903237
17,21.568,36.259,2019-01-14 00:00:00,6901772,26.518,33.795,2019-01-04 00:00:00,6902898,21.358,36.18,2019-01-07 00:00:00,6901772
18,26.832,34.246,2019-01-14 00:00:00,6903247,26.941,34.115,2019-01-04 00:00:00,6903247,27.422,34.901,2019-01-07 00:00:00,6902900
19,7.299,42.998,2019-01-15 00:00:00,6902901,27.439,34.899,2019-01-04 00:00:00,6902900,17.24,39.859,2019-01-08 00:00:00,6903249
20,27.378,34.856,2019-01-16 00:00:00,6902900,28.619,34.038,2019-01-04 00:00:00,6901764,23.762,39.534,2019-01-08 00:00:00,6903283
21,28.662,35.184,2019-01-16 00:00:00,6902904,3.988,40.58,2019-01-05 00:00:00,6902803,7.377,43.029,2019-01-09 00:00:00,6902901
22,18.021,35.102,2019-01-17 00:00:00,6903237,7.091,39.761,2019-01-05 00:00:00,6902804,7.542,39.791,2019-01-09 00:00:00,6901657
23,17.413,39.503,2019-01-18 00:00:00,6903249,26.476,33.731,2019-01-05 00:00:00,6902898,3.918,40.667,2019-01-10 00:00:00,6902803
24,23.309,34.659,2019-01-18 00:00:00,6901775,34.071,32.991,2019-01-05 00:00:00,6901773,7.102,39.818,2019-01-10 00:00:00,6902804
25,23.669,39.513,2019-01-18 00:00:00,6903283,6.53,40.043,2019-01-06 00:00:00,6901774,27.428,34.898,2019-01-10 00:00:00,6902900
26,27.31,34.813,2019-01-19 00:00:00,6902900,7.378,43.049,2019-01-06 00:00:00,6902901,12.645,39.268,2019-01-11 00:00:00,6902903
27,34.066,33.129,2019-01-19 00:00:00,6901773,26.348,33.687,2019-01-06 00:00:00,6902898,23.334,34.645,2019-01-11 00:00:00,6901775
28,7.199,42.949,2019-01-21 00:00:00,6902901,28.68,35.103,2019-01-06 00:00:00,6902902,7.344,43.012,2019-01-12 00:00:00,6902901
29,21.507,36.29,2019-01-21 00:00:00,6901772,29.611,31.787,2019-01-06 00:00:00,6901766,10.229,40.389,2019-01-12 00:00:00,6903238
30,17.939,35.012,2019-01-22 00:00:00,6903237,10.226,40.46,2019-01-07 00:00:00,6903238,17.638,41.992,2019-01-12 00:00:00,6903250
31,27.295,34.827,2019-01-22 00:00:00,6902900,17.611,42.21,2019-01-07 00:00:00,6903250,18.175,35.21,2019-01-12 00:00:00,6903237
32,17.411,39.225,2019-01-23 00:00:00,6903249,18.627,35.688,2019-01-07 00:00:00,6903237,6.562,39.87,2019-01-13 00:00:00,6901774
33,23.78,39.511,2019-01-23 00:00:00,6903283,21.358,36.18,2019-01-07 00:00:00,6901772,17.214,39.741,2019-01-13 00:00:00,6903249
34,28.768,35.175,2019-01-23 00:00:00,6902904,26.236,33.644,2019-01-07 00:00:00,6902898,27.424,34.881,2019-01-13 00:00:00,6902900
35,7.161,42.921,2019-01-24 00:00:00,6902901,27.422,34.901,2019-01-07 00:00:00,6902900,21.568,36.259,2019-01-14 00:00:00,6901772
36,28.571,34.057,2019-01-24 00:00:00,6901764,15.513,36.363,2019-01-08 00:00:00,6902826,26.832,34.246,2019-01-14 00:00:00,6903247
37,23.319,34.635,2019-01-25 00:00:00,6901775,15.529,37.674,2019-01-08 00:00:00,6901862,3.946,40.803,2019-01-15 00:00:00,6902803
38,27.355,34.797,2019-01-25 00:00:00,6902900,17.24,39.859,2019-01-08 00:00:00,6903249,7.108,39.939,2019-01-15 00:00:00,6902804
39,34.109,33.213,2019-01-26 00:00:00,6901773,23.762,39.534,2019-01-08 00:00:00,6903283,7.486,39.82,2019-01-16 00:00:00,6901657
40,7.153,42.894,2019-01-27 00:00:00,6902901,26.207,33.648,2019-01-08 00:00:00,6902898,27.378,34.856,2019-01-16 00:00:00,6902900
41,17.865,34.914,2019-01-27 00:00:00,6903237,7.377,43.029,2019-01-09 00:00:00,6902901,10.215,40.3,2019-01-17 00:00:00,6903238
42,28.581,34.075,2019-01-27 00:00:00,6901764,7.542,39.791,2019-01-09 00:00:00,6901657,17.789,41.809,2019-01-17 00:00:00,6903250
43,17.34,38.926,2019-01-28 00:00:00,6903249,26.196,33.679,2019-01-09 00:00:00,6902898,18.021,35.102,2019-01-17 00:00:00,6903237
44,27.36,34.774,2019-01-28 00:00:00,6902900,26.905,34.119,2019-01-09 00:00:00,6903247,7.244,42.979,2019-01-18 00:00:00,6902901
45,27.559,35.097,2019-01-29 00:00:00,6902872,28.638,35.221,2019-01-09 00:00:00,6902904,12.684,39.265,2019-01-18 00:00:00,6902903
46,27.349,34.78,2019-01-31 00:00:00,6902900,3.918,40.667,2019-01-10 00:00:00,6902803,17.413,39.503,2019-01-18 00:00:00,6903249
47,17.837,34.849,2019-02-01 00:00:00,6903237,7.102,39.818,2019-01-10 00:00:00,6902804,23.309,34.659,2019-01-18 00:00:00,6901775
48,23.291,34.658,2019-02-01 00:00:00,6901775,26.203,33.671,2019-01-10 00:00:00,6902898,23.669,39.513,2019-01-18 00:00:00,6903283
49,17.084,38.553,2019-02-02 00:00:00,6903249,27.428,34.898,2019-01-10 00:00:00,6902900,26.824,34.239,2019-01-19 00:00:00,6903247
50,23.729,39.254,2019-02-02 00:00:00,6903283,12.645,39.268,2019-01-11 00:00:00,6902903,27.31,34.813,2019-01-19 00:00:00,6902900
51,28.485,34.076,2019-02-02 00:00:00,6901764,23.334,34.645,2019-01-11 00:00:00,6901775,34.066,33.129,2019-01-19 00:00:00,6901773
52,34.286,33.318,2019-02-02 00:00:00,6901773,26.194,33.639,2019-01-11 00:00:00,6902898,4.116,40.923,2019-01-20 00:00:00,6902803
53,27.377,34.808,2019-02-03 00:00:00,6902900,28.672,34.009,2019-01-11 00:00:00,6901764,6.537,39.603,2019-01-20 00:00:00,6901774
54,21.388,36.462,2019-02-04 00:00:00,6901772,7.344,43.012,2019-01-12 00:00:00,6902901,7.089,40.015,2019-01-20 00:00:00,6902804
55,27.579,35.215,2019-02-04 00:00:00,6902872,10.229,40.389,2019-01-12 00:00:00,6903238,21.507,36.29,2019-01-21 00:00:00,6901772
56,7.376,42.635,2019-02-05 00:00:00,6902901,17.638,41.992,2019-01-12 00:00:00,6903250,10.126,40.234,2019-01-22 00:00:00,6903238
57,28.911,35.194,2019-02-05 00:00:00,6902904,18.175,35.21,2019-01-12 00:00:00,6903237,17.874,41.942,2019-01-22 00:00:00,6903250
58,17.636,41.621,2019-02-06 00:00:00,6903250,26.19,33.589,2019-01-12 00:00:00,6902898,17.939,35.012,2019-01-22 00:00:00,6903237
59,17.826,34.747,2019-02-06 00:00:00,6903237,6.562,39.87,2019-01-13 00:00:00,6901774,27.295,34.827,2019-01-22 00:00:00,6902900
60,27.365,34.843,2019-02-06 00:00:00,6902900,15.452,37.439,2019-01-13 00:00:00,6901862,7.445,39.82,2019-01-23 00:00:00,6901657
61,16.627,38.193,2019-02-07 00:00:00,6903249,17.214,39.741,2019-01-13 00:00:00,6903249,17.411,39.225,2019-01-23 00:00:00,6903249
62,23.752,39.283,2019-02-07 00:00:00,6903283,26.164,33.557,2019-01-13 00:00:00,6902898,23.78,39.511,2019-01-23 00:00:00,6903283
63,12.62,39.251,2019-02-08 00:00:00,6902903,27.424,34.881,2019-01-13 00:00:00,6902900,7.161,42.921,2019-01-24 00:00:00,6902901
64,23.3,34.644,2019-02-08 00:00:00,6901775,28.713,35.029,2019-01-13 00:00:00,6902902,26.912,34.188,2019-01-24 00:00:00,6903247
65,27.354,34.865,2019-02-09 00:00:00,6902900,21.568,36.259,2019-01-14 00:00:00,6901772,4.046,41.04,2019-01-25 00:00:00,6902803
66,34.191,33.263,2019-02-09 00:00:00,6901773,26.118,33.526,2019-01-14 00:00:00,6902898,7.036,40.053,2019-01-25 00:00:00,6902804
67,7.647,42.484,2019-02-11 00:00:00,6902901,26.832,34.246,2019-01-14 00:00:00,6903247,12.661,39.262,2019-01-25 00:00:00,6902903
68,9.879,39.989,2019-02-11 00:00:00,6903238,3.946,40.803,2019-01-15 00:00:00,6902803,23.319,34.635,2019-01-25 00:00:00,6901775
69,17.83,34.654,2019-02-11 00:00:00,6903237,7.108,39.939,2019-01-15 00:00:00,6902804,27.355,34.797,2019-01-25 00:00:00,6902900
70,28.846,35.206,2019-02-11 00:00:00,6902904,7.299,42.998,2019-01-15 00:00:00,6902901,34.109,33.213,2019-01-26 00:00:00,6901773
71,16.164,37.809,2019-02-12 00:00:00,6903249,15.482,36.136,2019-01-15 00:00:00,6902826,6.331,39.324,2019-01-27 00:00:00,6901774
72,24.007,39.494,2019-02-12 00:00:00,6903283,26.057,33.495,2019-01-15 00:00:00,6902898,7.153,42.894,2019-01-27 00:00:00,6902901
73,7.745,42.471,2019-02-14 00:00:00,6902901,7.486,39.82,2019-01-16 00:00:00,6901657,17.654,42.022,2019-01-27 00:00:00,6903250
74,27.286,35.249,2019-02-14 00:00:00,6902872,26.014,33.459,2019-01-16 00:00:00,6902898,17.865,34.914,2019-01-27 00:00:00,6903237
75,28.194,34.026,2019-02-14 00:00:00,6901764,27.378,34.856,2019-01-16 00:00:00,6902900,17.34,38.926,2019-01-28 00:00:00,6903249
