,lon,lat,time,name,ID
0,15.424,36.661,2019-01-01 00:00:00,6902826,6902826
1,26.385,33.754,2019-01-01 00:00:00,6902898,6902898
2,27.44,34.889,2019-01-01 00:00:00,6902900,6902900
3,7.517,39.721,2019-01-02 00:00:00,6901657,6901657
4,10.215,40.389,2019-01-02 00:00:00,6903238,6903238
5,17.862,42.221,2019-01-02 00:00:00,6903250,6903250
6,18.888,35.667,2019-01-02 00:00:00,6903237,6903237
7,26.379,33.763,2019-01-02 00:00:00,6902898,6902898
8,28.641,35.217,2019-01-02 00:00:00,6902904,6902904
9,7.381,43.107,2019-01-03 00:00:00,6902901,6902901
10,15.915,37.708,2019-01-03 00:00:00,6901862,6901862
11,17.075,40.198,2019-01-03 00:00:00,6903249,6903249
12,23.757,39.401,2019-01-03 00:00:00,6903283,6903283
13,26.446,33.801,2019-01-03 00:00:00,6902898,6902898
14,12.627,39.254,2019-01-04 00:00:00,6902903,6902903
15,23.338,34.611,2019-01-04 00:00:00,6901775,6901775
16,23.363,34.074,2019-01-04 00:00:00,6903246,6903246
17,26.518,33.795,2019-01-04 00:00:00,6902898,6902898
18,26.941,34.115,2019-01-04 00:00:00,6903247,6903247
19,27.439,34.899,2019-01-04 00:00:00,6902900,6902900
20,28.619,34.038,2019-01-04 00:00:00,6901764,6901764
21,3.988,40.58,2019-01-05 00:00:00,6902803,6902803
22,7.091,39.761,2019-01-05 00:00:00,6902804,6902804
23,26.476,33.731,2019-01-05 00:00:00,6902898,6902898
24,34.071,32.991,2019-01-05 00:00:00,6901773,6901773
25,6.53,40.043,2019-01-06 00:00:00,6901774,6901774
26,7.378,43.049,2019-01-06 00:00:00,6902901,6902901
27,26.348,33.687,2019-01-06 00:00:00,6902898,6902898
28,28.68,35.103,2019-01-06 00:00:00,6902902,6902902
29,29.611,31.787,2019-01-06 00:00:00,6901766,6901766
30,10.226,40.46,2019-01-07 00:00:00,6903238,6903238
31,17.611,42.21,2019-01-07 00:00:00,6903250,6903250
32,18.627,35.688,2019-01-07 00:00:00,6903237,6903237
33,21.358,36.18,2019-01-07 00:00:00,6901772,6901772
34,26.236,33.644,2019-01-07 00:00:00,6902898,6902898
35,27.422,34.901,2019-01-07 00:00:00,6902900,6902900
36,15.513,36.363,2019-01-08 00:00:00,6902826,6902826
37,15.529,37.674,2019-01-08 00:00:00,6901862,6901862
38,17.24,39.859,2019-01-08 00:00:00,6903249,6903249
39,23.762,39.534,2019-01-08 00:00:00,6903283,6903283
40,26.207,33.648,2019-01-08 00:00:00,6902898,6902898
41,7.377,43.029,2019-01-09 00:00:00,6902901,6902901
42,7.542,39.791,2019-01-09 00:00:00,6901657,6901657
43,26.196,33.679,2019-01-09 00:00:00,6902898,6902898
44,26.905,34.119,2019-01-09 00:00:00,6903247,6903247
45,28.638,35.221,2019-01-09 00:00:00,6902904,6902904
46,3.918,40.667,2019-01-10 00:00:00,6902803,6902803
47,7.102,39.818,2019-01-10 00:00:00,6902804,6902804
48,26.203,33.671,2019-01-10 00:00:00,6902898,6902898
49,27.428,34.898,2019-01-10 00:00:00,6902900,6902900
50,12.645,39.268,2019-01-11 00:00:00,6902903,6902903
51,23.334,34.645,2019-01-11 00:00:00,6901775,6901775
52,26.194,33.639,2019-01-11 00:00:00,6902898,6902898
53,28.672,34.009,2019-01-11 00:00:00,6901764,6901764
54,7.344,43.012,2019-01-12 00:00:00,6902901,6902901
55,10.229,40.389,2019-01-12 00:00:00,6903238,6903238
56,17.638,41.992,2019-01-12 00:00:00,6903250,6903250
57,18.175,35.21,2019-01-12 00:00:00,6903237,6903237
58,26.19,33.589,2019-01-12 00:00:00,6902898,6902898
59,6.562,39.87,2019-01-13 00:00:00,6901774,6901774
60,15.452,37.439,2019-01-13 00:00:00,6901862,6901862
61,17.214,39.741,2019-01-13 00:00:00,6903249,6903249
62,26.164,33.557,2019-01-13 00:00:00,6902898,6902898
63,27.424,34.881,2019-01-13 00:00:00,6902900,6902900
64,28.713,35.029,2019-01-13 00:00:00,6902902,6902902
65,21.568,36.259,2019-01-14 00:00:00,6901772,6901772
66,26.118,33.526,2019-01-14 00:00:00,6902898,6902898
67,26.832,34.246,2019-01-14 00:00:00,6903247,6903247
68,3.946,40.803,2019-01-15 00:00:00,6902803,6902803
69,7.108,39.939,2019-01-15 00:00:00,6902804,6902804
70,7.299,42.998,2019-01-15 00:00:00,6902901,6902901
71,15.482,36.136,2019-01-15 00:00:00,6902826,6902826
72,26.057,33.495,2019-01-15 00:00:00,6902898,6902898
73,7.486,39.82,2019-01-16 00:00:00,6901657,6901657
74,26.014,33.459,2019-01-16 00:00:00,6902898,6902898
75,27.378,34.856,2019-01-16 00:00:00,6902900,6902900
76,28.662,35.184,2019-01-16 00:00:00,6902904,6902904
77,10.215,40.3,2019-01-17 00:00:00,6903238,6903238
78,17.789,41.809,2019-01-17 00:00:00,6903250,6903250
79,18.021,35.102,2019-01-17 00:00:00,6903237,6903237
80,25.959,33.421,2019-01-17 00:00:00,6902898,6902898
81,7.244,42.979,2019-01-18 00:00:00,6902901,6902901
82,12.684,39.265,2019-01-18 00:00:00,6902903,6902903
83,15.507,37.322,2019-01-18 00:00:00,6901862,6901862
84,17.413,39.503,2019-01-18 00:00:00,6903249,6903249
85,23.309,34.659,2019-01-18 00:00:00,6901775,6901775
86,23.669,39.513,2019-01-18 00:00:00,6903283,6903283
87,25.928,33.394,2019-01-18 00:00:00,6902898,6902898
88,28.595,34.007,2019-01-18 00:00:00,6901764,6901764
89,25.907,33.341,2019-01-19 00:00:00,6902898,6902898
90,26.824,34.239,2019-01-19 00:00:00,6903247,6903247
91,27.31,34.813,2019-01-19 00:00:00,6902900,6902900
92,34.066,33.129,2019-01-19 00:00:00,6901773,6901773
93,4.116,40.923,2019-01-20 00:00:00,6902803,6902803
94,6.537,39.603,2019-01-20 00:00:00,6901774,6901774
95,7.089,40.015,2019-01-20 00:00:00,6902804,6902804
96,28.765,35.012,2019-01-20 00:00:00,6902902,6902902
97,7.199,42.949,2019-01-21 00:00:00,6902901,6902901
98,21.507,36.29,2019-01-21 00:00:00,6901772,6901772
99,28.549,34.023,2019-01-21 00:00:00,6901764,6901764
100,10.126,40.234,2019-01-22 00:00:00,6903238,6903238
101,15.485,35.973,2019-01-22 00:00:00,6902826,6902826
102,17.874,41.942,2019-01-22 00:00:00,6903250,6903250
103,17.939,35.012,2019-01-22 00:00:00,6903237,6903237
104,25.895,33.31,2019-01-22 00:00:00,6902898,6902898
105,27.295,34.827,2019-01-22 00:00:00,6902900,6902900
106,7.445,39.82,2019-01-23 00:00:00,6901657,6901657
